Sample_1,Sample_2,Euclidean_Similarity
SAM_008,SAM_044,0.603873282
SAM_008,SAM_045,0.689781276
SAM_008,SAM_046,0.534178667
SAM_008,SAM_047,0.616809635
SAM_008,SAM_048,0.667734472
SAM_008,SAM_049,0.902352223
SAM_008,SAM_050,0.670681259
SAM_008,SAM_051,0.667071828
SAM_008,SAM_052,0.886905107
SAM_008,SAM_053,0.359467883
SAM_008,SAM_054,0.724093299
SAM_008,SAM_055,0.70556052
SAM_008,SAM_056,0.632949055
SAM_008,SAM_057,0.601679742
SAM_008,SAM_058,0.65700676
SAM_008,SAM_059,0.816825928
SAM_008,SAM_060,0.609511391
SAM_008,SAM_061,0.645502036
SAM_008,SAM_062,0.675087468
SAM_008,SAM_063,0.67383303
SAM_008,SAM_064,0.582155502
SAM_008,SAM_065,0.62688839
SAM_008,SAM_066,0.408211879
SAM_008,SAM_067,0.489788229
SAM_008,SAM_068,0.730495404
SAM_008,SAM_069,0.736709549
SAM_008,SAM_070,0.548459505
SAM_008,SAM_071,0.789448103
SAM_008,SAM_072,0.505767546
SAM_008,SAM_073,0.786572986
SAM_008,SAM_074,0.704168517
SAM_008,SAM_075,0.698525396
SAM_008,SAM_076,0.635543245
SAM_008,SAM_077,0.372362212
SAM_008,SAM_078,0.72600566
SAM_008,SAM_079,0.752450021
SAM_008,SAM_080,0.532292478
SAM_008,SAM_081,0.799789453
SAM_008,SAM_082,0.735298475
SAM_008,SAM_083,0.596049062
SAM_008,SAM_084,0.245296584
SAM_008,SAM_085,0.510518514
SAM_008,SAM_086,0.811872793
SAM_008,SAM_087,0.360450764
SAM_008,SAM_088,0.820243926
SAM_008,SAM_089,0.676175128
SAM_008,SAM_090,0.657805538
SAM_008,SAM_091,0.543425627
SAM_008,SAM_092,0.75380575
SAM_008,SAM_093,0.660905701
SAM_008,SAM_094,0.576568322
SAM_008,SAM_095,0.674659212
SAM_008,SAM_096,0.802052147
SAM_008,SAM_097,0.819145458
SAM_008,SAM_098,0.629586114
SAM_008,SAM_099,0.600783161
SAM_008,SAM_100,0.624531028
SAM_009,SAM_010,0.4020114
SAM_009,SAM_011,0.876476594
SAM_009,SAM_012,0.511955561
SAM_009,SAM_013,0.517332431
SAM_009,SAM_014,0.452132168
SAM_009,SAM_015,0.314151449
SAM_009,SAM_016,0.340719803
