Sample_1,Sample_2,Jaccard,Euclidean,Cosine,Joint_Similarity,Common_Substance
SAM_071,SAM_081,0.461538462,0.872579721,0.739649953,0.691739984,Phenacetin
SAM_022,SAM_030,0.5,0.79563035,0.759790518,0.685886792,Phenacetin
SAM_022,SAM_030,0.5,0.79563035,0.759790518,0.685886792,Cocaine
SAM_022,SAM_030,0.5,0.79563035,0.759790518,0.685886792,6-Monoacetylmorphine
SAM_074,SAM_096,0.555555556,0.79405229,0.703555157,0.684579343,Cocaine
SAM_074,SAM_096,0.555555556,0.79405229,0.703555157,0.684579343,Noscapine
SAM_074,SAM_096,0.555555556,0.79405229,0.703555157,0.684579343,Acetaminophen
SAM_074,SAM_096,0.555555556,0.79405229,0.703555157,0.684579343,Heroin
SAM_074,SAM_096,0.555555556,0.79405229,0.703555157,0.684579343,Caffeine
SAM_032,SAM_085,0.5,0.794834702,0.756047009,0.684351435,Tetramisole or levamisole
SAM_032,SAM_085,0.5,0.794834702,0.756047009,0.684351435,Noscapine
SAM_032,SAM_085,0.5,0.794834702,0.756047009,0.684351435,Hydrocotarnine
SAM_049,SAM_052,0.555555556,0.806483752,0.682944397,0.681674067,Cocaine
SAM_049,SAM_052,0.555555556,0.806483752,0.682944397,0.681674067,Meconine
SAM_049,SAM_052,0.555555556,0.806483752,0.682944397,0.681674067,Acetylcodeine
SAM_049,SAM_052,0.555555556,0.806483752,0.682944397,0.681674067,Heroin
SAM_049,SAM_052,0.555555556,0.806483752,0.682944397,0.681674067,Phenacetin
SAM_008,SAM_027,0.384615385,0.901089823,0.755356023,0.681103766,Cocaine
SAM_008,SAM_027,0.384615385,0.901089823,0.755356023,0.681103766,Meconine
SAM_008,SAM_027,0.384615385,0.901089823,0.755356023,0.681103766,Acetylcodeine
SAM_008,SAM_027,0.384615385,0.901089823,0.755356023,0.681103766,Caffeine
SAM_008,SAM_027,0.384615385,0.901089823,0.755356023,0.681103766,Phenacetin
SAM_021,SAM_044,0.6,0.735687242,0.702722756,0.679702527,Meconine
SAM_021,SAM_044,0.6,0.735687242,0.702722756,0.679702527,Cocaine
SAM_021,SAM_044,0.6,0.735687242,0.702722756,0.679702527,Acetaminophen
SAM_012,SAM_059,0.5,0.842921261,0.691758993,0.678362074,Ecgonidine methyl ester
SAM_012,SAM_059,0.5,0.842921261,0.691758993,0.678362074,Meconine
SAM_012,SAM_059,0.5,0.842921261,0.691758993,0.678362074,Acetylcodeine
SAM_012,SAM_059,0.5,0.842921261,0.691758993,0.678362074,Heroin
SAM_012,SAM_059,0.5,0.842921261,0.691758993,0.678362074,Caffeine
SAM_012,SAM_059,0.5,0.842921261,0.691758993,0.678362074,Phenacetin
SAM_027,SAM_092,0.416666667,0.876982367,0.735055624,0.676823093,Cocaine
SAM_027,SAM_092,0.416666667,0.876982367,0.735055624,0.676823093,Hydrocotarnine
SAM_027,SAM_092,0.416666667,0.876982367,0.735055624,0.676823093,Meconine
SAM_027,SAM_092,0.416666667,0.876982367,0.735055624,0.676823093,Acetylcodeine
SAM_027,SAM_092,0.416666667,0.876982367,0.735055624,0.676823093,Caffeine
SAM_057,SAM_067,0.5,0.793067032,0.735574735,0.676807531,Heroin
SAM_057,SAM_067,0.5,0.793067032,0.735574735,0.676807531,Caffeine
SAM_057,SAM_067,0.5,0.793067032,0.735574735,0.676807531,Acetaminophen
SAM_057,SAM_067,0.5,0.793067032,0.735574735,0.676807531,Diacetamate
SAM_002,SAM_088,0.444444444,0.828996832,0.754400254,0.676731708,Cinnamoylcocaine
SAM_002,SAM_088,0.444444444,0.828996832,0.754400254,0.676731708,Phenacetin
SAM_002,SAM_088,0.444444444,0.828996832,0.754400254,0.676731708,Papaverine
SAM_002,SAM_088,0.444444444,0.828996832,0.754400254,0.676731708,Meconine
SAM_016,SAM_079,0.363636364,0.859901629,0.798353943,0.675207878,Meconine
SAM_016,SAM_079,0.363636364,0.859901629,0.798353943,0.675207878,Cocaine
SAM_016,SAM_079,0.363636364,0.859901629,0.798353943,0.675207878,Acetylcodeine
SAM_016,SAM_079,0.363636364,0.859901629,0.798353943,0.675207878,Papaverine
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,Ecgonidine methyl ester
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,Diacetamate
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,Acetaminophen
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,Heroin
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,Acetylthebaol
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,6-Monoacetylmorphine
SAM_004,SAM_061,0.466666667,0.871478945,0.685663808,0.674713747,Phenacetin
SAM_013,SAM_050,0.5,0.828784526,0.690251537,0.673184416,Triacetin
SAM_013,SAM_050,0.5,0.828784526,0.690251537,0.673184416,Ecgonidine methyl ester
SAM_013,SAM_050,0.5,0.828784526,0.690251537,0.673184416,Cocaine
SAM_013,SAM_050,0.5,0.828784526,0.690251537,0.673184416,Heroin
